key_resp.corr,key_resp.rt,,seq rt,random rt
1,0.9022079,,0.9022079,0.6694336
1,0.8705759,,0.8705759,0.3329605
1,0.3547958,,0.3547958,0.4383365
1,0.3373655,,0.3373655,0.5381246
1,0.2912196,,0.2912196,0.8361844
1,0.2539852,,0.2539852,0.9063025
1,0.2655944,,0.2655944,0.5452365
1,0.349422,,0.349422,0.573521
1,0.0136268,,0.0136268,0.5766758
1,0.3880814,,0.3880814,0.5210904
1,0.2818124,,0.2818124,0.6208122
1,0.2992847,,0.2992847,0.6543585
1,0.301064,,0.301064,0.770321
1,1.0130197,,1.0130197,1.1103941
1,0.2731084,,0.2731084,0.9257733
1,0.622497,,0.622497,0.609242
1,0.2974737,,0.2974737,0.7254547
1,0.9512112,,0.9512112,0.7903146
1,0.3043913,,0.3043913,0.8035913
1,0.2723982,,0.2723982,0.7275609
1,0.3640786,,0.3640786,0.5236086
1,0.2758755,,0.2758755,0.8540597
1,0.0543736,,0.0543736,0.6699975
1,0.0423041,,0.0423041,0.8917849
1,0.2608612,,0.2608612,0.7549301
1,0.1154648,,0.1154648,0.9918746
1,0.2206194,,0.2206194,0.6615094
1,0.1705505,,0.1705505,0.6591337
1,0.2754565,,0.2754565,0.6546817
1,0.2768208,,0.2768208,0.9536077
1,0.2085106,,0.2085106,0.7002549
1,0.3124883,,0.3124883,0.7046321
1,0.3536457,,0.3536457,0.9921162
1,0.9041039,,0.9041039,0.7141387
1,0.2852965,,0.2852965,0.7050724
1,0.3479924,,0.3479924,0.7701735
1,0.2584717,,0.2584717,0.9141103
1,0.8051433,,0.8051433,0.6120786
1,0.3001914,,0.3001914,0.6558911
1,0.3015122,,0.3015122,0.6881161
1,0.3152427,,0.3152427,0.6460793
1,0.3280068,,0.3280068,0.5711886
1,0.3443203,,0.3443203,0.6784499
1,0.3142109,,0.3142109,0.5317649
1,0.3746554,,0.3746554,0.5781464
1,0.3028527,,0.3028527,0.7997456
1,0.3871015,,0.3871015,0.3832236
1,0.2604935,,0.2604935,0.8674155
1,0.3223434,,0.3223434,0.4776869
1,0.0800825,,0.0800825,0.7828973
1,0.0738302,,0.0738302,0.5898969
1,0.0187491,,0.0187491,0.7936404
1,0.2552336,,0.2552336,1.0056744
1,0.4487783,,0.4487783,0.6207901
1,0.207982,,0.207982,0.5870504
1,0.3317734,,0.3317734,0.5684777
1,0.2897887,,0.2897887,0.3647925
1,0.3544266,,0.3544266,0.4312065
1,0.2098885,,0.2098885,0.5119243
1,0.2620236,,0.2620236,2.6288681
1,0.3183221,,0.3183221,0.7529212
1,0.2722622,,0.2722622,0.4664929
1,0.2144478,,0.2144478,1.1783733
1,0.0006269,,0.0006269,0.7360706
1,0.1451704,,0.1451704,0.5931085
1,0.3973904,,0.3973904,0.8321088
1,0.2966707,,0.2966707,0.7280429
1,0.318038,,0.318038,1.953127
1,0.3154681,,0.3154681,0.4634947
1,0.2603161,,0.2603161,0.5951936
1,0.1907618,,0.1907618,0.6322822
1,0.2173107,,0.2173107,0.3862604
1,0.3306127,,0.3306127,0.4566275
1,0.6841189,,0.6841189,0.3939517
1,0.3836548,,0.3836548,0.5974023
1,0.0191704,,0.0191704,0.7589056
1,0.3069026,,0.3069026,0.4951123
1,0.47201,,0.47201,0.8446315
1,0.0380308,,0.0380308,0.568497
1,0.0292695,,0.0292695,0.5923709
1,0.3360621,,0.3360621,0.5792843
1,0.3767725,,0.3767725,0.8277472
1,0.402982,,0.402982,0.549073
1,0.2461888,,0.2461888,0.444232
1,0.2890232,,0.2890232,0.6154541
1,0.3857831,,0.3857831,0.5535861
1,0.4650035,,0.4650035,0.622595
1,0.3936117,,0.3936117,0.5938382
1,0.4946692,,0.4946692,0.3969765
1,0.4211877,,0.4211877,0.6756547
1,0.6375092,,0.6375092,0.8136877
1,0.0492982,,0.0492982,0.3709206
1,0.370384,,0.370384,0.5818564
1,0.4243557,,0.4243557,0.6822429
1,0.398519,,0.398519,0.4722231
1,0.371868,,0.371868,0.6386853
1,0.3976282,,0.3976282,0.4325463
1,0.4380552,,0.4380552,0.6550194
1,0.3804235,,0.3804235,0.6883804
1,0.3486451,,0.3486451,0.5687976
1,0.6694336,,,
1,0.3329605,,0.330972046,0.689541552
1,0.4383365,,,
1,0.5381246,,,
1,0.8361844,,,
1,0.9063025,,,
1,0.5452365,,,
1,0.573521,,,
1,0.5766758,,,
1,0.5210904,,,
1,0.6208122,,,
1,0.6543585,,,
1,0.770321,,,
1,1.1103941,,,
1,0.9257733,,,
1,0.609242,,,
1,0.7254547,,,
1,0.7903146,,,
1,0.8035913,,,
1,0.7275609,,,
1,0.5236086,,,
1,0.8540597,,,
1,0.6699975,,,
1,0.8917849,,,
1,0.7549301,,,
1,0.9918746,,,
1,0.6615094,,,
1,0.6591337,,,
1,0.6546817,,,
1,0.9536077,,,
1,0.7002549,,,
1,0.7046321,,,
1,0.9921162,,,
1,0.7141387,,,
1,0.7050724,,,
1,0.7701735,,,
1,0.9141103,,,
1,0.6120786,,,
1,0.6558911,,,
1,0.6881161,,,
1,0.6460793,,,
1,0.5711886,,,
1,0.6784499,,,
1,0.5317649,,,
1,0.5781464,,,
1,0.7997456,,,
1,0.3832236,,,
1,0.8674155,,,
1,0.4776869,,,
1,0.7828973,,,
1,0.5898969,,,
1,0.7936404,,,
1,1.0056744,,,
1,0.6207901,,,
1,0.5870504,,,
1,0.5684777,,,
1,0.3647925,,,
1,0.4312065,,,
1,0.5119243,,,
1,2.6288681,,,
1,0.7529212,,,
1,0.4664929,,,
1,1.1783733,,,
1,0.7360706,,,
1,0.5931085,,,
1,0.8321088,,,
1,0.7280429,,,
1,1.953127,,,
1,0.4634947,,,
1,0.5951936,,,
1,0.6322822,,,
1,0.3862604,,,
1,0.4566275,,,
1,0.3939517,,,
1,0.5974023,,,
1,0.7589056,,,
1,0.4951123,,,
1,0.8446315,,,
1,0.568497,,,
1,0.5923709,,,
1,0.5792843,,,
1,0.8277472,,,
1,0.549073,,,
1,0.444232,,,
1,0.6154541,,,
1,0.5535861,,,
1,0.622595,,,
1,0.5938382,,,
1,0.3969765,,,
1,0.6756547,,,
1,0.8136877,,,
1,0.3709206,,,
1,0.5818564,,,
1,0.6822429,,,
1,0.4722231,,,
1,0.6386853,,,
1,0.4325463,,,
1,0.6550194,,,
1,0.6883804,,,
1,0.5687976,,,
