thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(-0.09125)],[np.float64(-0.41375)],[1],[0],[0],3.1548666,['target'],0,0,0,0,0.049974,,10,0.0330868,0.049974,0.049974,0.0331048,3.1880169,[np.float64(-0.09125)],[np.float64(-0.41375)],[1],[0],[0],[3.1548666000016965],['target'],participant 3,1,2025-10-01_19h59.40.349,untitled,,2025.1.1,59.85719272,2025-10-01 19h59.50.264654 +0530
1,0,1,[np.float64(0.40625)],[np.float64(0.0025)],[1],[0],[0],2.4805182,['target'],1,0,1,0,3.2149518,,10,3.2019932,3.2149518,3.2149518,0.0138497,5.6825947,[np.float64(0.40625)],[np.float64(0.0025)],[1],[0],[0],[2.4805182000272907],['target'],participant 3,1,2025-10-01_19h59.40.349,untitled,,2025.1.1,59.85719272,2025-10-01 19h59.50.264654 +0530
2,0,2,[np.float64(-0.2475)],[np.float64(0.2525)],[1],[0],[0],7.264498,['target'],2,0,2,0,5.7142609,,10,5.7006913,5.7142609,5.7142609,0.0179278,12.9653066,[np.float64(-0.2475)],[np.float64(0.2525)],[1],[0],[0],[7.264497999974992],['target'],participant 3,1,2025-10-01_19h59.40.349,untitled,,2025.1.1,59.85719272,2025-10-01 19h59.50.264654 +0530
3,0,3,[np.float64(0.1225)],[np.float64(-0.2075)],[1],[0],[0],1.9488884,['target'],3,0,3,0,13.0111441,,10,12.9985619,13.0111441,13.0111441,0.0330583,14.9475581,[np.float64(0.1225)],[np.float64(-0.2075)],[1],[0],[0],[1.9488883999874815],['target'],participant 3,1,2025-10-01_19h59.40.349,untitled,,2025.1.1,59.85719272,2025-10-01 19h59.50.264654 +0530
4,0,4,[np.float64(-0.16)],[np.float64(0.4975)],[1],[0],[0],2.0996443,['target'],4,0,4,0,14.9768886,,5,14.9647455,14.9768886,14.9768886,0.0169907,17.0644735,[np.float64(-0.16)],[np.float64(0.4975)],[1],[0],[0],[2.0996443000040017],['target'],participant 3,1,2025-10-01_19h59.40.349,untitled,,2025.1.1,59.85719272,2025-10-01 19h59.50.264654 +0530
5,0,5,[np.float64(-0.4125)],[np.float64(0.34625)],[1],[0],[0],1.1663361,['target'],5,0,5,0,17.1262532,,10,17.0948785,17.1262532,17.1262532,0.0303129,18.2613018,[np.float64(-0.4125)],[np.float64(0.34625)],[1],[0],[0],[1.1663361000246368],['target'],participant 3,1,2025-10-01_19h59.40.349,untitled,,2025.1.1,59.85719272,2025-10-01 19h59.50.264654 +0530
6,0,6,[np.float64(-0.09875)],[np.float64(0.1925)],[1],[0],[0],1.1164643,['target'],6,0,6,0,18.2919512,,5,18.2801597,18.2919512,18.2919512,0.0186591,19.3967474,[np.float64(-0.09875)],[np.float64(0.1925)],[1],[0],[0],[1.1164642999647185],['target'],participant 3,1,2025-10-01_19h59.40.349,untitled,,2025.1.1,59.85719272,2025-10-01 19h59.50.264654 +0530
7,0,7,[np.float64(0.4825)],[np.float64(0.18125)],[1],[0],[0],2.1849486,['target'],7,0,7,0,19.4417144,,10,19.4251787,19.4417144,19.4417144,0.0282663,21.610244,[np.float64(0.4825)],[np.float64(0.18125)],[1],[0],[0],[2.1849486000137404],['target'],participant 3,1,2025-10-01_19h59.40.349,untitled,,2025.1.1,59.85719272,2025-10-01 19h59.50.264654 +0530
8,0,8,[np.float64(0.29)],[np.float64(-0.06)],[1],[0],[0],0.98508,['target'],8,0,8,0,21.6415294,,5,21.6266424,21.6415294,21.6415294,0.0161374,22.6118313,[np.float64(0.29)],[np.float64(-0.06)],[1],[0],[0],[0.9850799999549054],['target'],participant 3,1,2025-10-01_19h59.40.349,untitled,,2025.1.1,59.85719272,2025-10-01 19h59.50.264654 +0530
9,0,9,[np.float64(0.1225)],[np.float64(0.31375)],[1],[0],[0],1.6135383,['target'],9,0,9,0,22.6403704,,5,22.6298639,22.6403704,22.6403704,0.017843,24.2435055,[np.float64(0.1225)],[np.float64(0.31375)],[1],[0],[0],[1.613538299978245],['target'],participant 3,1,2025-10-01_19h59.40.349,untitled,,2025.1.1,59.85719272,2025-10-01 19h59.50.264654 +0530
