thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(0.10625)],[np.float64(0.0825)],[1],[0],[0],1.0148832,['target'],0,0,0,0,0.0397579,,5,0.0164266,0.0397579,0.0397579,0.0164449,1.0314736,[np.float64(0.10625)],[np.float64(0.0825)],[1],[0],[0],[1.014883199997712],['target'],participant 2,1,2025-10-01_19h47.06.968,untitled,,2025.1.1,60.06536313,2025-10-01 19h47.16.965794 +0530
1,0,1,[np.float64(0.4225)],[np.float64(0.15)],[1],[0],[0],1.1647864,['target'],1,0,1,0,1.0553785,,5,1.0455752,1.0553785,1.0553785,0.0138223,2.2104562,[np.float64(0.4225)],[np.float64(0.15)],[1],[0],[0],[1.164786399982404],['target'],participant 2,1,2025-10-01_19h47.06.968,untitled,,2025.1.1,60.06536313,2025-10-01 19h47.16.965794 +0530
2,0,2,[np.float64(-0.39875)],[np.float64(-0.0125)],[1],[0],[0],1.5162977,['target'],2,0,2,0,2.2594356,,10,2.2405838,2.2594356,2.2594356,0.02993,3.7570086,[np.float64(-0.39875)],[np.float64(-0.0125)],[1],[0],[0],[1.5162976999999955],['target'],participant 2,1,2025-10-01_19h47.06.968,untitled,,2025.1.1,60.06536313,2025-10-01 19h47.16.965794 +0530
3,0,3,[np.float64(0.27375)],[np.float64(-0.01)],[1],[0],[0],1.1299031,['target'],3,0,3,0,3.7877454,,10,3.7766735,3.7877454,3.7877454,0.0194115,4.9067084,[np.float64(0.27375)],[np.float64(-0.01)],[1],[0],[0],[1.1299031000235118],['target'],participant 2,1,2025-10-01_19h47.06.968,untitled,,2025.1.1,60.06536313,2025-10-01 19h47.16.965794 +0530
4,0,4,[np.float64(0.275)],[np.float64(0.3475)],[1],[0],[0],1.0431282,[None],4,0,4,0,4.937492,,5,4.9197258,4.937492,4.937492,0.0127722,5.9629759,[np.float64(0.275)],[np.float64(0.3475)],[1],[0],[0],[1.0431282000499777],[None],participant 2,1,2025-10-01_19h47.06.968,untitled,,2025.1.1,60.06536313,2025-10-01 19h47.16.965794 +0530
5,0,5,[np.float64(0.22375)],[np.float64(-0.06375)],[1],[0],[0],1.1486426,['target'],5,0,5,0,5.9864094,,5,5.9754663,5.9864094,5.9864094,0.0122955,7.1242259,[np.float64(0.22375)],[np.float64(-0.06375)],[1],[0],[0],[1.1486425999901257],['target'],participant 2,1,2025-10-01_19h47.06.968,untitled,,2025.1.1,60.06536313,2025-10-01 19h47.16.965794 +0530
6,0,6,[np.float64(-0.34875)],[np.float64(0.00875)],[1],[0],[0],1.3708733,['target'],6,0,6,0,7.1527064,,5,7.1408966,7.1527064,7.1527064,0.0164769,8.511892,[np.float64(-0.34875)],[np.float64(0.00875)],[1],[0],[0],[1.370873300009407],['target'],participant 2,1,2025-10-01_19h47.06.968,untitled,,2025.1.1,60.06536313,2025-10-01 19h47.16.965794 +0530
7,0,7,[np.float64(-0.23375)],[np.float64(0.0325)],[1],[0],[0],1.2755973,['target'],7,0,7,0,8.551997,,10,8.5338441,8.551997,8.551997,0.02174,9.8095742,[np.float64(-0.23375)],[np.float64(0.0325)],[1],[0],[0],[1.2755973000312224],['target'],participant 2,1,2025-10-01_19h47.06.968,untitled,,2025.1.1,60.06536313,2025-10-01 19h47.16.965794 +0530
8,0,8,[np.float64(0.41125)],[np.float64(-0.475)],[1],[0],[0],1.8509018,[None],8,0,8,0,9.8346509,,5,9.8264267,9.8346509,9.8346509,0.0165485,11.6774694,[np.float64(0.41125)],[np.float64(-0.475)],[1],[0],[0],[1.850901799974963],[None],participant 2,1,2025-10-01_19h47.06.968,untitled,,2025.1.1,60.06536313,2025-10-01 19h47.16.965794 +0530
9,0,9,[np.float64(-0.23)],[np.float64(-0.185)],[1],[0],[0],1.2412348,['target'],9,0,9,0,11.7177161,,10,11.6981921,11.7177161,11.7177161,0.0204282,12.9395628,[np.float64(-0.23)],[np.float64(-0.185)],[1],[0],[0],[1.2412347999634221],['target'],participant 2,1,2025-10-01_19h47.06.968,untitled,,2025.1.1,60.06536313,2025-10-01 19h47.16.965794 +0530
