key_resp.corr,key_resp.rt,,seq rt,random rt
1,1.0755573,,1.0755573,0.7911528
1,0.4023779,,0.4023779,0.7403973
1,0.3210132,,0.3210132,0.8781884
1,0.6143039,,0.6143039,1.1875709
1,0.3705275,,0.3705275,0.5791412
1,0.2822424,,0.2822424,0.7172854
1,0.2486422,,0.2486422,0.771314
1,0.5211829,,0.5211829,0.5167148
1,0.1466171,,0.1466171,0.5679855
1,0.156749,,0.156749,0.6918429
1,0.2709507,,0.2709507,0.8145836
1,0.3859658,,0.3859658,0.6648192
1,0.3538837,,0.3538837,0.4205032
1,0.1269112,,0.1269112,1.6886668
1,0.1686667,,0.1686667,0.5682689
1,0.1945317,,0.1945317,0.573223
1,0.3485892,,0.3485892,0.5743301
1,0.2594794,,0.2594794,0.4713762
1,0.3949037,,0.3949037,0.5373576
1,0.014123,,0.014123,0.4811556
1,0.2726488,,0.2726488,0.4944142
1,1.7298701,,1.7298701,0.4633574
1,0.3339686,,0.3339686,1.2031096
1,0.4996985,,0.4996985,0.520498
1,0.3580542,,0.3580542,0.4705444
1,0.3023129,,0.3023129,0.4648105
1,0.2770813,,0.2770813,0.4462392
1,0.3552781,,0.3552781,0.4386164
1,0.2331252,,0.2331252,0.4415264
1,0.3430602,,0.3430602,0.4880494
1,0.280358,,0.280358,0.6209641
1,0.2753223,,0.2753223,0.4400273
1,0.3678882,,0.3678882,0.4778965
1,0.2711687,,0.2711687,0.4641351
1,0.2806377,,0.2806377,0.5421997
1,0.2785457,,0.2785457,0.5040692
1,0.3892259,,0.3892259,0.4390795
1,0.2477666,,0.2477666,0.5470849
1,0.2225513,,0.2225513,0.4811251
1,0.1297019,,0.1297019,0.5391699
1,0.2952511,,0.2952511,0.4180084
1,0.0231477,,0.0231477,0.5284352
1,0.1810925,,0.1810925,0.5507487
1,0.6150223,,0.6150223,0.505169
1,0.2876896,,0.2876896,0.4337998
1,0.1246327,,0.1246327,0.5099334
1,0.0993346,,0.0993346,0.4120818
1,0.4785555,,0.4785555,0.678577
1,0.364267,,0.364267,0.4498052
1,0.3257701,,0.3257701,0.5545022
1,0.3844788,,0.3844788,0.5263
1,0.0293113,,0.0293113,0.4318541
1,0.3312055,,0.3312055,0.8310341
1,0.4278871,,0.4278871,0.6320463
1,0.3125332,,0.3125332,0.6038148
