key_resp.corr,key_resp.rt,,seq rt,random rt
1,1.0755063,,1.0755063,0.5037195
1,0.8023434,,0.8023434,0.4724444
1,0.2927522,,0.2927522,0.5607717
1,0.4635356,,0.4635356,0.5128007
1,0.2831575,,0.2831575,0.6688289
1,0.6455848,,0.6455848,0.5537685
1,0.3374358,,0.3374358,0.6225807
1,0.5542593,,0.5542593,0.3119613
1,0.3569324,,0.3569324,0.5554707
1,0.6799373,,0.6799373,0.4677541
1,0.2973655,,0.2973655,0.5484319
1,0.482512,,0.482512,0.4273152
1,0.3116353,,0.3116353,0.4933858
1,0.7337101,,0.7337101,0.5701688
1,0.3031798,,0.3031798,0.486219
1,0.4724957,,0.4724957,0.5392498
1,0.2886524,,0.2886524,0.9585227
1,0.5980088,,0.5980088,0.4694773
1,0.2796866,,0.2796866,0.9202274
1,0.5007997,,0.5007997,1.6654799
1,0.325656,,0.325656,0.5919396
1,0.4257506,,0.4257506,1.0519596
1,0.3064454,,0.3064454,0.5014085
1,0.2249936,,0.2249936,0.4668198
1,0.2919026,,0.2919026,0.8409423
1,0.3219104,,0.3219104,0.5587659
1,0.2560396,,0.2560396,0.8024484
1,0.2538197,,0.2538197,0.5188859
1,2.2924677,,2.2924677,0.4998884
1,0.0904933,,0.0904933,0.4367703
1,0.4844648,,0.4844648,0.6353702
1,0.3746512,,0.3746512,0.5336343
1,0.3580379,,0.3580379,3.1557084
1,0.30226,,0.30226,0.5008427
1,0.2783975,,0.2783975,0.4334307
1,0.3703872,,0.3703872,0.4413467
1,0.2942521,,0.2942521,0.5188186
1,0.5281106,,0.5281106,0.7012699
1,0.2735954,,0.2735954,0.3777634
1,0.2829865,,0.2829865,0.4575353
1,0.4283603,,0.4283603,0.6076893
1,0.3302254,,0.3302254,0.6928776
1,0.3107498,,0.3107498,0.2998549
1,0.3213618,,0.3213618,0.5622411
1,0.3506643,,0.3506643,0.5592741
1,0.4101262,,0.4101262,0.7546625
1,0.3123834,,0.3123834,0.7615211
1,0.3099281,,0.3099281,0.973968
1,0.3178154,,0.3178154,0.6701793
1,0.2808195,,0.2808195,0.3960509
1,0.0699177,,0.0699177,0.6869728
1,0.5548927,,0.5548927,0.5151164
1,0.2644532,,0.2644532,1.65828
1,0.4266688,,0.4266688,1.9885841
1,0.3842591,,0.3842591,0.5156927
1,0.3011998,,0.3011998,0.6192836
1,0.3474847,,0.3474847,0.5392067
1,0.2872047,,0.2872047,0.4984768
1,0.2569366,,0.2569366,0.3459244
1,0.3491281,,0.3491281,0.6683464
1,0.3154136,,0.3154136,0.3303671
1,0.3054028,,0.3054028,0.6355767
1,0.2710239,,0.2710239,0.5542741
1,0.3239386,,0.3239386,0.372742
1,0.2733083,,0.2733083,0.4134835
1,0.2849872,,0.2849872,0.4112724
1,0.323488,,0.323488,0.342586
1,0.3137123,,0.3137123,0.5166927
