thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(0.32166666666666666)],[np.float64(0.011666666666666667)],[1],[0],[0],1.2589307,[None],0,0,0,0,0.064041,,10,0.0469207,0.064041,0.064041,0.0469408,1.3059459,[np.float64(0.32166666666666666)],[np.float64(0.011666666666666667)],[1],[0],[0],[1.258930700016208],[None],participant 1,1,2025-10-01_19h23.32.185,untitled,,2025.1.1,60.17299737,2025-10-01 19h23.42.197733 +0530
1,0,1,[np.float64(-0.2866666666666667)],[np.float64(-0.215)],[1],[0],[0],1.1879418,['target'],1,0,1,0,1.3313579,,5,1.3163495,1.3313579,1.3313579,0.010185,2.5044092,[np.float64(-0.2866666666666667)],[np.float64(-0.215)],[1],[0],[0],[1.1879417999880388],['target'],participant 1,1,2025-10-01_19h23.32.185,untitled,,2025.1.1,60.17299737,2025-10-01 19h23.42.197733 +0530
2,0,2,[np.float64(0.38166666666666665)],[np.float64(0.29833333333333334)],[1],[0],[0],1.3311881,[None],2,0,2,0,2.5307373,,10,2.5216101,2.5307373,2.5307373,0.0170174,3.8529036,[np.float64(0.38166666666666665)],[np.float64(0.29833333333333334)],[1],[0],[0],[1.3311880999826826],[None],participant 1,1,2025-10-01_19h23.32.185,untitled,,2025.1.1,60.17299737,2025-10-01 19h23.42.197733 +0530
3,0,3,[np.float64(-0.28)],[np.float64(-0.45166666666666666)],[1],[0],[0],3.6626851,['target'],3,0,3,0,3.8796633,,10,3.8705852,3.8796633,3.8796633,0.0175084,7.5333569,[np.float64(-0.28)],[np.float64(-0.45166666666666666)],[1],[0],[0],[3.662685099989176],['target'],participant 1,1,2025-10-01_19h23.32.185,untitled,,2025.1.1,60.17299737,2025-10-01 19h23.42.197733 +0530
4,0,4,[np.float64(0.2816666666666667)],[np.float64(-0.2733333333333333)],[1],[0],[0],1.5832888,['target'],4,0,4,0,7.5623031,,10,7.5477656,7.5623031,7.5623031,0.0142452,9.1311033,[np.float64(0.2816666666666667)],[np.float64(-0.2733333333333333)],[1],[0],[0],[1.5832888000295497],['target'],participant 1,1,2025-10-01_19h23.32.185,untitled,,2025.1.1,60.17299737,2025-10-01 19h23.42.197733 +0530
5,0,5,[np.float64(0.15)],[np.float64(-0.36833333333333335)],[1],[0],[0],1.5514536,[None],5,0,5,0,9.1616303,,10,9.1457081,9.1616303,9.1616303,0.0145078,10.6972107,[np.float64(0.15)],[np.float64(-0.36833333333333335)],[1],[0],[0],[1.5514535999973305],[None],participant 1,1,2025-10-01_19h23.32.185,untitled,,2025.1.1,60.17299737,2025-10-01 19h23.42.197733 +0530
6,0,6,[np.float64(-0.4666666666666667)],[np.float64(-0.37833333333333335)],[1],[0],[0],1.2667913,[None],6,0,6,0,10.7272249,,10,10.7121432,10.7272249,10.7272249,0.0148295,11.9789814,[np.float64(-0.4666666666666667)],[np.float64(-0.37833333333333335)],[1],[0],[0],[1.2667913000332192],[None],participant 1,1,2025-10-01_19h23.32.185,untitled,,2025.1.1,60.17299737,2025-10-01 19h23.42.197733 +0530
7,0,7,[np.float64(-0.3)],[np.float64(0.475)],[1],[0],[0],1.20997,['target'],7,0,7,0,11.99352,,5,11.9860703,11.99352,11.99352,0.0069911,13.1960926,[np.float64(-0.3)],[np.float64(0.475)],[1],[0],[0],[1.209969999967143],['target'],participant 1,1,2025-10-01_19h23.32.185,untitled,,2025.1.1,60.17299737,2025-10-01 19h23.42.197733 +0530
8,0,8,[np.float64(-0.2816666666666667)],[np.float64(0.4066666666666667)],[1],[0],[0],0.8527238,['target'],8,0,8,0,13.2264489,,10,13.2104628,13.2264489,13.2264489,0.0142951,14.0632359,[np.float64(-0.2816666666666667)],[np.float64(0.4066666666666667)],[1],[0],[0],[0.8527237999951467],['target'],participant 1,1,2025-10-01_19h23.32.185,untitled,,2025.1.1,60.17299737,2025-10-01 19h23.42.197733 +0530
9,0,9,[np.float64(0.22)],[np.float64(-0.345)],[1],[0],[0],1.7347649,['target'],9,0,9,0,14.0923287,,10,14.0776606,14.0923287,14.0923287,0.0143316,15.8124717,[np.float64(0.22)],[np.float64(-0.345)],[1],[0],[0],[1.7347649000003003],['target'],participant 1,1,2025-10-01_19h23.32.185,untitled,,2025.1.1,60.17299737,2025-10-01 19h23.42.197733 +0530
